Rôle;Prénom;Nom;Mot de passe;Groupes (noms/slugs | chemin Parent>Enfant);Pseudo (optionnel);Email (optionnel);Description (optionnel)
visiteur;Vera;Visite;azerty123;6ème A;vera_visite;vera.visite@gmail.com;Profil écrit en slug. La classe est créée si elle n’existe pas encore. E-mail hors domaines établissement accepté. Remplacer ou supprimer.
Personnel;Paul;Personnel;azerty123;Personnel;paul_personnel;paul.personnel@etablissement.example;Même profil écrit avec son nom affiché : slug et libellé sont acceptés indifféremment. Remplacer ou supprimer.
eleve_novice;Nina;Novice;azerty123;6ème A | 6ème B;nina_novice;nina.novice@etablissement.example;"Deux classes séparées par « | » (le « ; » marche aussi). Remplacer ou supprimer."
n3beur novice;Noé;Nouveau;azerty123;6ème B;;;Ligne minimale : nom affiché du profil, pseudo / e-mail / description laissés vides. Remplacer ou supprimer.
Élève avancé;Ava;Avance;azerty123;6ème A > Atelier sciences;ava_avance;ava.avance@example.org;Accents, majuscules et espaces sont neutralisés dans la colonne Rôle. Chemin « Parent > Enfant » : le sous-groupe est créé sous sa classe. Remplacer ou supprimer.
eleve_chevronne;Chloé;Chevron;azerty123;;chloe_chevron;chloe.chevron@proton.me;Sans groupe : le rattachement peut se faire plus tard. Remplacer ou supprimer.
eleve_avance;Dora;Doublon;azerty123;6ème A;;;Doublon 1/2 : la même personne (même profil élève/enseignant, prénom et nom) peut occuper plusieurs lignes — les groupes s’additionnent. Remplacer ou supprimer.
eleve_avance;Dora;Doublon;;6ème B | 6ème A > Atelier sciences;dora_doublon;dora.doublon@etablissement.example;"Doublon 2/2 : pour les colonnes hors groupes, c’est la dernière ligne renseignée qui gagne ; une cellule vide (ici le mot de passe) conserve la valeur précédente. Remplacer ou supprimer."
prof_classe;Théo;Tuteur;MotDePasse12!;6ème A | 6ème B;theo_tuteur;theo.tuteur@etablissement.example;Compte enseignant : mot de passe d’au moins 12 caractères. Tuteur de deux classes. Remplacer ou supprimer.
tuteur;Tina;Tutelle;MotDePasse12!;5ème C;tina_tutelle;tina.tutelle@etablissement.example;Alias accepté pour « Prof de classe » (tuteur, professeur de classe, prof principal…). Remplacer ou supprimer.
prof;Nadia;Pilote;MotDePasse12!;;nadia_pilote;nadia.pilote@etablissement.example;Profil enseignant « fort » : sans groupe, son périmètre reste global. Remplacer ou supprimer.
n3boss;Noam;Referent;MotDePasse12!;6ème A;noam_referent;noam.referent@outlook.com;Même profil que la ligne précédente, écrit avec son nom affiché (« professeur » et « enseignant » fonctionnent aussi). Remplacer ou supprimer.
admin;Alix;Admin;MotDePasse12!;;alix_admin;alix.admin@example.com;Administrateur : seul un administrateur peut importer cette ligne, sinon elle est refusée et signalée dans le rapport. Remplacer ou supprimer.
